fonte,coletado_em,posto_id,nome,uf_fonte,cidade_fonte,bairro,endereco,cep,telefones,email,site,contato,horario,segmento
casio,2026-09-06,casio-ca15fd2a8c,TG ELETRÔNICA COM. ASSIST. TEC. LTDA,SP,São Paulo,,"R. Toledo Barbosa, 601 - Belém, São Paulo - SP",03061-000,1122915038,tgeletronica@terra.com.br,,,Segunda e Sexta das 8h as 17h30h,
proshows,2026-09-06,proshows-6722c820cb,FH ELETRÔNICA,AL,Maceió,Poço,"Rua Castro Alves, 164 – A",57025-460,8230355789|82988784801,fh.eletronica@outlook.com,,Barbara,,Áudio/Iluminação/Valvulados/Painel De Led/Lutheria
proshows,2026-09-06,proshows-72962929cf,HI FI ELETRONIC,AL,Maceió,Centro,"Rua Dr. Guedes Godim, 278",57020-260,82988992245,hifieletronic@uol.com.br,,Pedro Júnior,,Áudio/Iluminação
proshows,2026-09-06,proshows-6990104635,DF ELETRÔNICA,BA,Alagoinhas,Teresópolis,"Rua Santo Antônio, 04",48018-515,75999748931|75982238529,df.eletronica2@gmail.com,,Dilson,,Áudio/Valvulados
proshows,2026-09-06,proshows-b93141024e,JP SMART,BA,Eunápolis,Gusmão,"Rua Guarani, 330 - 1º Andar",45821-030,7332811583|73991172830,jpsmartservice02@gmail.com,,Jucilaine,,Áudio/DJ/Iluminação/Painel De Led
proshows,2026-09-06,proshows-300e96e74f,AUDIOSOM,BA,Feira de Santana,Centro,"Rua Cristóvão Barreto, 43",44003-127,7534713788|75991162011,audiosom2@hotmail.com,,Zacarias,,Áudio
proshows,2026-09-06,proshows-10d1a072c2,EVERSOM ELETRÔNICA PROFISSIONAL,BA,Ilhéus,Conquista,"Rua Gileno Franca, 145",45650-700,73988026287,everaldotecnico@yahoo.com.br,,Everson,,Áudio/ Iluminação
proshows,2026-09-06,proshows-8c07845952,SINAL ELETRÔNICA,BA,Itabuna,São Caetano,"Av. Princesa Isabel, 935",45607-123,73991745080,sinaleletronica@hotmail.com,,Antônio / Eziel,,Áudio/Iluminação
proshows,2026-09-06,proshows-991447c165,BEDIN ELETRÔNICA,BA,Salvador,Santa Cruz,"Rua Mundo Novo, 105",41928-132,7133536024,bedineletronica@gmail.com,,Amilton,,Áudio/Iluminação
proshows,2026-09-06,proshows-37a055599a,PCM ELETRÔNICA,BA,Salvador,Cajazeiras,"Rua Álvaro da França Rocha, 136 - CAJ IV",41334-320,7133093044,pcmeletronica@hotmail.com,,Edson,,Áudio
proshows,2026-09-06,proshows-08fb3b027b,PLAYMUSIC,BA,Salvador,Tororó,"AV. VALE DO TORORÓ, 98",40050-290,7132415999,playmusic-ba@hotmail.com,,Orlando Maciel,,Áudio
proshows,2026-09-06,proshows-5e736fcdec,S ELETRÔNICA,BA,Salvador,Garcia,"ALAMEDA FILEMON ANDRADE, 442 - SALA 105",40100-060,7130438226,esseletronica@gmail.com,,Paulo,,Áudio/Valvulados
proshows,2026-09-06,proshows-4fd81ba285,MULTISOM MUSICAL E ELETRÔNICA,BA,Vitoria da Conquista,Brasil,"Avenida Presidente Dutra, 2714 - 1º Andar",45051-030,7734211081|77988219948,multisom_vc@hotmail.com,,Adoniran,,Áudio
proshows,2026-09-06,proshows-2a7bff9ab7,ELETRÔNICA ITASOM,CE,Fortaleza,Centro,"Avenida Padre Ibiapina, 1365",60010-690,8532231856|85999664647,itasomtecnica@hotmail.com,,Ricardo,,Áudio/Iluminação
proshows,2026-09-06,proshows-017afbbddd,LUTHITEC,CE,Fortaleza,Centro,"Rua Nogueira Acioli, 1400",60110-140,8530161123,luthitec@gmail.com,,Eliabe,,Áudio/DJ
proshows,2026-09-06,proshows-6e6202b89e,BRASILIA ELETRÔNICA,DF,Brasília,Asa Norte,"CLN 307, Bloco E - Loja 06",70746-550,6134473880|61984342065,admin@brasiliaeletronica.com,,Carlos Roberto,,Áudio/ Valvulados
proshows,2026-09-06,proshows-222808fc36,TECLADOS E CIA,ES,Cariacica,Itacibá,"Rua Manoel Joaquim dos Santos, 786",29150-270,27998455442|27996482903,tecladosecia@hotmail.com,,Ivonaldo,,Áudio/Iluminação
proshows,2026-09-06,proshows-597c1cdaf1,SHARCOLOR,ES,Vitória,Bento Ferreira,"Avenida Marechal Mascarenhas de Moraes, 2577",29050-667,2732274575|2733243931,sharcolor@uol.com.br,,Jaime,,Áudio/Iluminação
proshows,2026-09-06,proshows-ca09025b73,REVOLUTION MUSIC,GO,Catalão,Setor Central,"Rua Madre Esperança Garrido, 179",70746-550,6434424670,revolutionmusic_pedropaulo@hotmail.com,,Pedro Paulo,,Áudio/Iluminação/Luthieria
proshows,2026-09-06,proshows-2e11894485,LTECH,GO,Goiânia,Setor São José,"Avenida São Clemente, 632 - QD 563, LT 05",74440-300,6236614656|62981695586,l.tech.eletro@gmail.com,,Bruno Mathias,,Áudio/Iluminação
proshows,2026-09-06,proshows-8024c896f5,MUNDO DOS COMPUTADORES,GO,Goiânia,Setor Bueno,"Avenida Mutirão, 1856",75215-240,6232519054|62999718841,mundodoscomputadores@hotmail.com,,Jean Carlos,,Áudio/Valvulados
proshows,2026-09-06,proshows-84e40dbe56,PROJESOM,GO,Goiânia,Campinas,"Avenida Senador Jaime, 595 - Sala 10",74525-010,62998451100,camilo_projesom@hotmail.com,,Márcia,,Áudio
proshows,2026-09-06,proshows-37c05409c0,PROLUX,GO,Goiânia,Setor Aeroviário,"Rua Martinho Nascimento, 449",74435-060,6235762148|6232918264,proluxassistencia@outlook.com,,Juliano,,Áudio/Iluminação
proshows,2026-09-06,proshows-b997c49776,S.O.S LIGHT,GO,Goiânia,Setor Pedro Ludovico,"Rua Alameda Guimarães Natal, 749 - QD 16, LT 4",74820-030,6236423839|62981012199,soslighting@gmail.com,,Cleyner,,Áudio/Iluminação
proshows,2026-09-06,proshows-24bbd95677,BARTOLOMEU ELETRÔNICA E TECNOLOGIA,GO,Iporá,Centro,"Avenida Rio Claro, 682",76200-000,6436742213,barto_eletronica@hotmail.com,,Bartolomeu,,Áudio/Iluminação
proshows,2026-09-06,proshows-325c805561,AE&T ASSISTÊNCIA,MA,Imperatriz,Colina Park,"Rua Local, 4 - QD 15, LT 21",65916-130,99981135291,eletronicaerecnologica2013@hotmail.com,,Márcio,,Áudio
proshows,2026-09-06,proshows-7b50d49a0a,A POLITÉCNICA,MA,São Luís,Resid. Vinhais II,"Rua Tibiri, 05",65070-100,9830820645|98982137674,a_politecnica@hotmail.com,,Luciano,,Áudio/Iluminação
proshows,2026-09-06,proshows-45a744f22e,SILVATECK,MA,São Luís,Centro,"Rua do Alecrim, 352",65010-040,9832210654|9832325685,silvateck@oi.com.br,,Bernardo,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-2c3e612e41,ASLAN MUSIC SHOP,MG,Belo Horizonte,Centro,"Avenida Olegário Maciel,159",30180-113,3132012431|31992002431,assistencia@aslanmusicshop.com.br,,Ítalo,,Lutheria
proshows,2026-09-06,proshows-2b46e03ea7,CIA ELETRONICA,MG,Belo Horizonte,Gloria,"RUA FERNANDO DE NORONHA, 498A",30870-200,3125528326,alex_bh@outlook.com,,Alexander,,Áudio/DJ/Iluminação/Painel de led
proshows,2026-09-06,proshows-de4963a43c,ELETRONICS,MG,Belo Horizonte,Castelo,"Avenid Presidente Tancredo Neves, 3445 - Galpão 02",31330-430,3134111541,sac@autoradio.com.br,,Alvarino,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-7212f23c6a,JV ELETRÔNICA - ACORDE ELETRÔNICA,MG,Belo Horizonte,Carlos Prates,"RUA PADRE EUSTÁQUIO, 1620",30710-580,3132010528|3125550928,joaosantana04015@outlook.com,,Laura Maimoni,,Áudio/Iluminação/Painel de Led
proshows,2026-09-06,proshows-2921a18361,TECHNOCENTERBH,MG,Belo Horizonte,Barro Preto,"Avenida Augusto De Lima, 1259",30190-002,3135646476,atendimento@technocenterbh.com.br,,Paulo Henrique,,Áudio/Valvulados
proshows,2026-09-06,proshows-4c7b8d4e8a,DUETRONICA,MG,Betim,Chácara,"AV. BANDEIRANTES, 419",32670-295,31971426500,,,Guilherme,,Áudio/Iluminação/Painel de Led
proshows,2026-09-06,proshows-225ced2f94,REVISÃO ELETRÔNICA,MG,Conselheiro Lafaiete,Museu,"Rua Dom Silvério, 89",36400-202,3139397659|31984947659,revisaoeletronica1@gmail.com,,Andy,,Áudio/Valvulados
proshows,2026-09-06,proshows-ef47d53e64,ELETRÔNICA GONTIJO,MG,Contagem,Novo Riacho,"Av. Cantagalo, 165",32280-500,3130114646,eletrogontijo@gmail.com,,Sérgio,,Áudio/Valvulados
proshows,2026-09-06,proshows-b2f7a25936,TIAGO ELETRÔNICA,MG,Governador Valadares,Azteca,"Rua Cento E Quatro, 98",35042-110,3384116086,tiagofrancisco2550@gmail.com,,Tiago,,Áudio e Iluminação
proshows,2026-09-06,proshows-47eaee95d0,SONORA SOLUÇÕES EM ÁUDIO,MG,Ipatinga,Centro,"Rua Sabará, 09",35160-022,3136687244|31992112732,sonorasolucoes@hotmail.com,,João Maia,,Áudio/Iluminação
proshows,2026-09-06,proshows-16bc102ddf,ELTON ELETRÔNICA,MG,João Pinheiro,Centro,"Rua Aparício Saraiva, 274",38770-000,3835611958,ueltoneletronica@hotmail.com,,Uelton,,Áudio
proshows,2026-09-06,proshows-e5e384e082,TELEVISOM ELETRÔNICA,MG,Juiz de Fora,Granbery,"Rua Antônio Dias Tostes, 518",36010-370,3232136742,televisom.at@hotmail.com,,Wander,,Audio/Valvulados
proshows,2026-09-06,proshows-e01e06f1e5,DEL REY,MG,Lavras,Centro,"RUA BARÃO DO RIO BRANCO, 360",37200-000,3538211155,delrey_eletronica@hotmail.com,,José Hamilton,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-3bc6c1b036,AUDIOTECH ELETRÔNICA,MG,Montes Claros,Alto São João,"Rua Jaguaribe, 272",39400-313,3832142192|38998814946,renato@audiotecheletronica.com.br,,Renato,,Áudio/Iluminação/Painel De Led
proshows,2026-09-06,proshows-58a8f8ae57,NOX ELETRÔNICA,MG,Santa Luzia,Centro,"RUA OLEGARIO MACIEL, 283",30110-040,3130110108,nox_eletronica@hotmail.com,,Márcio Wellington,,Áudio/Iluminação
proshows,2026-09-06,proshows-ad52d1ffae,ÁUDIO CENTER,MG,Uberaba,Jardim América,"Rua Dos Xerentes, 311 A 319",38036-090,3433133529,comercialaudiocenter@gmail.com,,Evaldo,,Áudio/Iluminação/Valvulados/Painel De Led
proshows,2026-09-06,proshows-ca6f13980f,EQUIP CENTER LTDA,MG,Uberaba,São Benedito,"Rua Teófilo Otoni, 185",38022-030,3433160846,equipcenter@equipcenter.tv,,Riclei,,Áudio/Iluminação/Painel De Led
proshows,2026-09-06,proshows-9ab0d91ae1,SLP SERVIÇOS E PRODUTOS,MG,Uberlândia,Brasil,"Rua Porto Alegre, 360",38400-644,3430833714|34992321200,slp.atendimento@gmail.com,,Wald Anderson,,Áudio/Iluminação/Painel De Led/Valvulados
proshows,2026-09-06,proshows-3bb8b8f90d,SIATEC,MS,Campo Grande,Jardim Monte Líbano,"Rua Coronel Sebastiao Lima, 639",79004-600,6733871203,siatec.eletronica@uol.com.br,,Antônio Carlos,,Áudio/Valvulados
proshows,2026-09-06,proshows-6a8607c572,VIP ELETRÔNICA,MS,Campo Grande,Centro,"Rua Antônio Maria Coelho, 1966",79002-220,67992091085,vip_eletronica@hotmail.com,,Márcio,,Áudio/Valvulados
proshows,2026-09-06,proshows-b55dfca3fd,ALENCAR ASSISTÊNCIA TÉCNICA,MT,Cuiabá,Verdão,"Avenida São Sebastião, 489",78030-298,6536372483|65999230118,djsalencar@hotmail.com,,Alencar,,Áudio/Iluminação
proshows,2026-09-06,proshows-33cc88cf36,IMPERIAL ASSISTÊNCIA,MT,Cuiabá,JD Imperial ll,"Rua Oito, 11 - QD 4B, Residencial Claudio Marchett",78076-319,65992994904,atendimentoeletronicaimperial@gmail.com,,Ronie,,Áudio
proshows,2026-09-06,proshows-6d27152a94,SIGMA ELETRÔNICA,MT,Cuiabá,Bosque da Saúde,"Rua Das Orquídeas, 600",78050-010,6530232262|65984683144,atendimentosigma1@gmail.com,,Cláudio,,Áudio/Iluminação
proshows,2026-09-06,proshows-2206c44ac1,LEOTECH,MT,Rondonopolis,Parque São Jorge,"RUA SANTO EXPEDITO, 1142",78735-825,,leozanotello@uol.com.br,,Leonardo,,Áudio/Iluminação
proshows,2026-09-06,proshows-bdc388cc49,DIGITAL ÀUDIO NEWS,MT,Várzea Grande,Ponte Nova,"Rua Aziza Bacarat, 100",78115-090,6530296770,rosivaldodigital@hotmail.com,,Rosivaldo,,Áudio
proshows,2026-09-06,proshows-2f07cfb48c,M CARDOSO ASSISTÊNCIA TÉCNICA,PA,Abaetetuba,Algodoal,"Rua Barão Do Rio Branco, 832",68440-000,91991333867,m.30cardoso@yahoo.com.br,,Marcelo,,Áudio/Iluminação
proshows,2026-09-06,proshows-103c9de3f8,MPG2 SOUND LIGHTING,PA,Belém,Marambaia,"Rua Da Marinha, 125",66620-200,91982653409,lp_pingo@yahoo.com.br,,Marcio,,Áudio/Iluminação
proshows,2026-09-06,proshows-76e223e1ed,WM TECH - PA,PA,Castanhal,Centro,"Alameda Bnh, 11",68740-402,9121238629,at@wmtechpa.com.br,,Marcela,,Áudio/Iluminação
proshows,2026-09-06,proshows-cd0f32d65f,MEGABYTE ELETRONICA,PB,Campina Grande,Centro,"RUA JOÃO ALVES DE OLIVEIRA, 71",58400-117,8333436270|8330633571,kielcemarne@hotmail.com,,Kielce,,Áudio/Iluminação/Valvulados
proshows,2026-09-06,proshows-4ded3373a7,LYTECH SERVICE,PB,João Pessoa,Torre,"Rua Joaquim Torres, 479",58040-210,8335661475,sat@lytech.com.br,,Ivanilton,,Áudio/Iluminação
proshows,2026-09-06,proshows-c36b52e937,WTEC ASSISTENCIA TECNICA,PB,Santa Rita,Várzea Nova,"RUA PRINCESA ISABEL, 108",58300-970,8332292387,wtecassistenciatecnica@hotmail.com,,Vanderlei Barbosa,,Áudio
proshows,2026-09-06,proshows-a241277523,MB ELETRONICA,PE,Campina Grande,Cuités,"RUA JOSEFA ALVES DA SILVA, 288",58404-760,,eletronicamb1@gmail.com,,Matheus,,Áudio/Iluminação
proshows,2026-09-06,proshows-2a48809c95,JMR ELETRONICA,PE,Caruaru,São Francisco,"RUA AMERICO VESPUCIO, 188",55008-610,8131374277,jmreletronica@gmail.com,,Marcos,,Áudio
proshows,2026-09-06,proshows-0cca153104,SAATMAN EVENTOS,PE,Escada,"Galpão, Mangueira","AVENIDA IVISON AMARO DA SILVEIRA COSTA, S/N",55500-000,81996068105,gui.saatmam@gmail.com,,Guilherme,,Áudio/Iluminação
proshows,2026-09-06,proshows-82b2841ecf,ELETRÔNICA PERNAMBUCO,PE,Recife,Tamarineira,"ESTRADA DO ARRAIAL, 2846",52051-380,8134415013|8132686631,josias@eletronicape.com,,Josias Ferreira,,Áudio/Iluminação
proshows,2026-09-06,proshows-544418df77,INNOVA ELETRÔNICA,PE,Recife,Campo Grande,"Rua Joaquim Botelho, 64",52040-030,81995976692,innovaeletronica@gmail.com,,Alexandre,,Áudio/Iluminação
